1	1148.879313	1
2	774.725105	1.482950927
3	720.722723	1.594065618
4	639.905271	1.795389669
5	574.805723	1.998726295
6	524.762305	2.189332774
7	496.314756	2.314819979
8	465.887157	2.4660034
9	433.125457	2.652532412
10	418.766956	2.7434813
11	409.845618	2.803200187
12	378.607091	3.034489687
13	373.382562	3.076949568
14	357.313387	3.215326811
15	323.737514	3.548798836
16	334.070564	3.43903186
17	315.915772	3.63666336
18	300.076	3.828627791
19	304.215079	3.776536379
20	290.245579	3.958300819
21	286.733933	4.006778343
22	258.494405	4.444503598
23	240.268985	4.781638017
24	236.370898	4.860493922
25	223.274082	5.145600881
26	219.976382	5.22273938
27	216.46484	5.30746385
28	203.187416	5.654283792
29	201.094803	5.713122845
30	193.691235	5.931498723
31	194.491276	5.907099468
32	187.520696	6.126680081
33	180.454637	6.366582384
34	175.573677	6.543573801
35	169.008764	6.797749926
36	173.105193	6.636885313
37	167.987166	6.839089797
38	166.003464	6.920815297
39	161.157622	7.128917011
40	158.304882	7.25738397
41	162.951683	7.050429255
42	153.135804	7.502355968
43	149.695051	7.674798234
44	151.016031	7.6076646
45	149.090429	7.705922645
46	156.445494	7.343639523
47	153.157822	7.501277427
48	146.577154	7.838051713
49	140.871369	8.155520324
50	139.219343	8.252296615
51	141.128178	8.140679836
52	140.589794	8.171854303
53	138.665512	8.285256344
54	140.247278	8.191811844
55	140.530781	8.175285904
56	142.324394	8.072258597
57	147.505742	7.788709086
58	144.319428	7.960669807
59	142.826265	8.043893838
60	142.561466	8.058834868
