size,avg latency
0,628
100,812
200,799
300,686
400,672
500,572
600,703
700,615
800,556
900,663
1000,630
1100,619
1200,662
1300,1054
1400,696
1500,1703
1600,632
1700,643
1800,523
1900,645
2000,677
2100,706
2200,672
2300,737
2400,658
2500,670
2600,548
2700,591
2800,559
2900,539
3000,592
3100,684
3200,591
3300,790
3400,624
3500,570
3600,547
3700,582
3800,615
3900,717
