size,avg latency
0,335
100,433
200,405
300,356
400,341
500,297
600,424
700,302
800,284
900,339
1000,322
1100,321
1200,332
1300,655
1400,376
1500,323
1600,344
1700,320
1800,269
1900,342
2000,350
2100,339
2200,339
2300,377
2400,348
2500,340
2600,276
2700,304
2800,286
2900,270
3000,295
3100,347
3200,312
3300,400
3400,320
3500,297
3600,276
3700,306
3800,323
3900,369
