size,avg latency
0,700
100,650
200,692
300,627
400,596
500,661
600,684
700,589
800,535
900,611
1000,601
1100,641
1200,555
1300,635
1400,594
1500,579
1600,686
1700,680
1800,583
1900,585
2000,657
2100,691
2200,582
2300,737
2400,651
2500,617
2600,664
2700,555
2800,600
2900,664
3000,819
3100,611
3200,549
3300,566
3400,665
3500,655
3600,708
3700,848
3800,651
3900,644
