size,avg latency
0,551
100,583
200,595
300,622
400,939
500,945
600,678
700,773
800,779
900,723
1000,764
1100,724
1200,827
1300,960
1400,810
1500,867
1600,872
1700,985
1800,1026
1900,1207
2000,1161
2100,1019
2200,641
2300,642
2400,700
2500,454
2600,810
2700,864
2800,780
2900,705
3000,789
3100,889
3200,886
3300,654
3400,699
3500,760
3600,667
3700,635
3800,774
3900,641
