size,avg latency
0,618
100,630
200,532
300,511
400,599
500,747
600,625
700,599
800,553
900,650
1000,590
1100,609
1200,597
1300,635
1400,665
1500,547
1600,608
1700,563
1800,669
1900,607
2000,690
2100,626
2200,566
2300,601
2400,628
2500,615
2600,610
2700,593
2800,587
2900,669
3000,642
3100,599
3200,567
3300,676
3400,533
3500,592
3600,595
3700,760
3800,702
3900,616
