size,avg latency
0,879
100,860
200,883
300,835
400,941
500,974
600,953
700,917
800,816
900,981
1000,976
1100,905
1200,899
1300,957
1400,1070
1500,863
1600,927
1700,908
1800,995
1900,914
2000,958
2100,908
2200,951
2300,875
2400,933
2500,934
2600,947
2700,884
2800,862
2900,986
3000,961
3100,885
3200,833
3300,1027
3400,840
3500,895
3600,906
3700,1003
3800,962
3900,957
