size,avg latency
0,323
100,399
200,404
300,347
400,335
500,293
600,377
700,316
800,285
900,317
1000,319
1100,302
1200,328
1300,381
1400,348
1500,322
1600,306
1700,301
1800,279
1900,332
2000,338
2100,334
2200,339
2300,378
2400,346
2500,353
2600,274
2700,298
2800,281
2900,272
3000,279
3100,336
3200,320
3300,379
3400,320
3500,322
3600,277
3700,301
3800,318
3900,361
