size,avg latency
0,364
100,335
200,347
300,322
400,320
500,336
600,351
700,301
800,280
900,292
1000,296
1100,319
1200,274
1300,337
1400,307
1500,319
1600,342
1700,334
1800,288
1900,289
2000,323
2100,379
2200,293
2300,371
2400,351
2500,323
2600,333
2700,271
2800,302
2900,353
3000,392
3100,310
3200,270
3300,291
3400,360
3500,322
3600,347
3700,449
3800,333
3900,331
