size,avg latency
0,542
100,561
200,574
300,594
400,876
500,896
600,651
700,730
800,768
900,684
1000,719
1100,685
1200,773
1300,928
1400,759
1500,815
1600,815
1700,948
1800,931
1900,1139
2000,1019
2100,952
2200,598
2300,613
2400,672
2500,440
2600,771
2700,871
2800,753
2900,691
3000,761
3100,817
3200,818
3300,644
3400,675
3500,732
3600,663
3700,607
3800,759
3900,607
