size,avg latency
0,605
100,611
200,551
300,508
400,641
500,714
600,618
700,594
800,549
900,647
1000,685
1100,604
1200,647
1300,601
1400,652
1500,570
1600,625
1700,637
1800,637
1900,644
2000,626
2100,589
2200,583
2300,647
2400,662
2500,620
2600,599
2700,591
2800,585
2900,588
3000,662
3100,591
3200,584
3300,657
3400,522
3500,585
3600,599
3700,668
3800,644
3900,615
