size,avg latency
0,296
100,314
200,291
300,265
400,312
500,373
600,377
700,313
800,293
900,339
1000,295
1100,332
1200,314
1300,318
1400,342
1500,282
1600,326
1700,296
1800,331
1900,321
2000,329
2100,309
2200,300
2300,311
2400,307
2500,330
2600,315
2700,310
2800,302
2900,303
3000,354
3100,306
3200,294
3300,364
3400,272
3500,432
3600,340
3700,354
3800,347
3900,323
