size,avg latency
0,996
100,979
200,1009
300,951
400,867
500,1969
600,996
700,851
800,798
900,867
1000,866
1100,1002
1200,798
1300,917
1400,879
1500,923
1600,986
1700,980
1800,854
1900,864
2000,937
2100,1054
2200,847
2300,1055
2400,1020
2500,922
2600,1036
2700,782
2800,1010
2900,989
3000,1120
3100,901
3200,792
3300,862
3400,1016
3500,963
3600,1023
3700,1347
3800,937
3900,970
